Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
94,Taylor Swift,Anti-Hero,79,12,1,"82,935,273","1,501,835,240",10/21/2022,81,"2000s, 2010s, 2020s, alternative pop, artist of the decade, contemporary country, 
country, country pop, cultural icon, electropop, female vocals, icon, indie folk, late 2000s, millennial, 
nuno, pop, pop rock, re-recording, singer-songwriter, singer/songwriter, synth-pop, love",1295832
95,Billie Eilish,WILDFLOWER,71,2,9,"34,383,970","1,511,638,809",5/17/2024,92,"2010s, 2020s, alt-pop, alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, dark pop, electronic, electronica, electropop, gen z, indie pop, nepo baby, pity pop, pop, pop rock, pop soul, queer, singer-songwriter",1416131
96,Queen,Bohemian Rhapsody - Remastered 2011,224,,11,"18,440,196","1,484,719,835",11/21/1975,81,"art rock, beholder, british, classic rock, glam rock, glorious, hard rock, pop rock, progressive rock, rock, symphonic rock, uk",1517501
97,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",68,22,1,"54,841,779","1,466,812,232",7/6/2022,80,"pop, trap, trap edm, trap latino",352493
98,One Direction,Night Changes,170,1,8,"32,106,780","1,466,877,828",11/17/2014,86,"hip hop, rap, pop",1134227
99,Drake,God's Plan,104,21,1,"54,891,573","1,446,481,457",6/29/2018,84,"hip hop, rap, pop",1333180
100,Bruno Mars,When I Was Your Man,189,,38,"15,866,628","1,456,131,790",12/7/2012,87,"2010s, funk, music for soccer moms, pop, r&b, relic inn, rock, soul",1709025
101,Macklemore & Ryan Lewis,Can't Hold Us,164,,86,"11,440,256","339,327,547",10/9/2012,79,"hip hop, pop rap",59717
102,Shaboozey,A Bar Song (Tipsy),76,13,6,"45,881,416","1,440,720,347",4/12/2024,83,"country, country pop, hip hop, stomp and holler",577149
103,Justin Bieber,Ghost,134,,11,"17,091,238","1,439,847,387",3/19/2021,83,"2010s, 2020s, dance-pop, pop, pop rap, r&b, teen pop",753255
104,Lil Nas X,MONTERO (Call Me By Your Name),73,22,1,"55,582,612","1,435,081,319",9/17/2021,74,"2020s, hip hop, lgbtqi, pop rap, queer, relic inn, trap",1244391
105,Bruno Mars,Just the Way You Are,149,,34,"17,397,565","1,437,071,068",5/11/2010,85,"2010s, funk, music for soccer moms, pop, r&b, relic inn, rock, soul",2018360
106,KAROL G,Si Antes Te Hubiera Conocido,66,15,5,"41,120,665","1,433,408,220",6/21/2024,84,"latin, latin urban, r&b, reggaeton, spanish",426833
107,Travis Scott,SICKO MODE,147,21,2,"33,399,542","1,423,300,401",8/3/2018,82,"english, experimental hip hop, hip hop, pop rap, rap, southern hip hop, trap",1406838
108,Mitski,My Love Mine All Mine,76,18,3,"31,544,921","1,396,357,979",9/15/2023,86,"2010s, 2020s, alternative, alternative rock, alternative singer/songwriter, alternative/indie rock, art pop, folk punk, folk rock, garage rock, indie, indie dance, indie rock, j-pop, millennial, pop, punk rock, rock, singer-songwriter",1857845
109,SAINt JHN,Roses - Imanbek Remix,97,23,3,"35,360,782","1,393,342,289",8/25/2020,15,"hip hop, rap",577964
110,BTS,Dynamite,113,17,2,"39,904,687","1,387,320,531",8/28/2020,61,"2010s, 2020s, boy group, english, k-pop, pop",959398
