id,artist,title,total,releasedate,unique_listener,year,recency,log_total,log_total_norm,unique_norm,recency_norm,songscore,genre,track_id,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mode,duration_ms,unnamed: 24,explicit
362,Xavi,La Diabla,671614641,8/27/2012,177011,2012,0.8375,20.32519528,0.805492501,0.046247977,0.8375,58.41206435,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda, sierreño",0R6NfOiLzLj4O5VbYSJAjf,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
363,Coldplay,The Scientist,682071284,8/27/2002,2900776,2002,0.7125,20.34064473,0.806991832,0.757898923,0.7125,77.33655926,"alternative rock, britpop, art pop, dream pop, rock",75JFxkI2RXiU7L9VXzMkle,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
364,Kygo,It Ain't Me,668193646,2/16/2017,41189,2017,0.9,20.32008858,0.804996908,0.010761122,0.9,58.57267904,tropical house,3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0.515,99.968,0.119,-6.596,0.0706,1,220780,,FALSE
365,PinkPantheress,Boy's a liar Pt. 2,666819252,2/3/2023,1468086,2023,0.975,20.31802958,0.804797087,0.38357324,0.975,71.24705155,bedroom pop,6AQbmUe0Qwf5PZnt4HmTXv,0.548,0.4135,0.2305,119.947,0.32715,-5.487,0.0481,1,204280,,0
366,Sia,Snowman,663920003,11/1/2018,896652,2018,0.9125,20.31367222,0.804374216,0.23427198,0.9125,65.49687021,"alternative pop, dance-pop, pop, electropop, art pop",7uoFMmxln0GPXQ0AcCBXRq,0.716,0.512,0.326,104.957,0.483,-6.257,0.0331,1,165906,,FALSE
367,Elley Duhé,MIDDLE OF THE NIGHT,663695650,1/10/2020,605258,2020,0.9375,20.31333425,0.804341416,0.158138094,0.9375,63.71121361,"alternative pop, electropop",45JYEmfoWSpCA3Paut7YXE,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
368,Kendrick Lamar,Money Trees,663254945,1/1/2013,1963138,2019,0.925,20.31267001,0.804276953,0.512917814,0.925,48.9840373,"hip hop, west coast hip hop",74tLlkN3rgVzRqQJgPfink,0.79275,0.665,0.43575,119.947,0.1891955,-5.487,0.128425,1,204280,,0
370,Pop Smoke,For The Night,659826820,7/3/2020,10933,2020,0.9375,20.30748797,0.803774049,0.002855994,0.9375,59.02438227,"brooklyn drill, new york drill, drill",0PvFJmanyNQMseIFrU708S,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
371,The Kid LAROI,NIGHTS LIKE THIS,665936496,11/10/2023,891380,2023,0.975,20.31670487,0.804668527,0.23289454,0.975,66.72026256,"emo rap, pop rap, rap",1XBYiRV30ykHw5f4wm6qEn,0.4835,0.7105,0.3405,119.947,0.06205,-5.487,0.06255,1,204280,,0
372,Post Malone,Goodbyes (Feat. Young Thug),654675084,9/6/2019,680267,2019,0.925,20.29964962,0.803013357,0.177736049,0.925,63.98274931,"trap, country, cloud rap, r&b, alternative r&b",0t3ZvGKlmYmVsDzBJAXK8C,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
373,Kelly Clarkson,Underneath the Tree,653881609,10/25/2013,865962,2013,0.85,20.29843687,0.802895662,0.226253459,0.85,63.93238689,christmas,3nAp4IvdMPPWEH9uuXFFV5,0.662,0.475,0.9225,119.947,0.4015,-5.487,0.03975,1,204280,,0
