Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1787,sombr,12 to 12,,,,,151378348,7/24/2025,424621,2025.0,1.0,18.83529288,0.66090115,0.110942212,1.0,56.37332386,Rock,"indie pop, pop rock"
1788,"Tyler, The Creator",Sugar On My Tongue,,,,,151043828,7/21/2025,929018,2025.0,1.0,18.83308061,0.660686455,0.242728398,1.0,60.31617467,Hip-Hop / Rap,rap
1789,Henrique & Juliano,Arranhão - Ao Vivo,,,,,131535892,12/10/2021,99192,2021.0,0.95,18.69479032,0.647265724,0.02591584,0.95,52.14076137,Other,"sertanejo, sertanejo universitário, arrocha, agronejo"
1790,Post Malone,Paranoid,,,,,131467348,9/18/1970,297696,1970.0,0.3125,18.69426908,0.647215138,0.077779917,0.3125,40.94415444,Hip-Hop / Rap,"contemporary r&b, r&b, pop rap, cloud rap, country"
1791,Sheppard,Geronimo,,,,,131464626,1/12/2015,492790,2015.0,0.875,18.69424838,0.647213129,0.128753048,0.875,53.7232479,Rock,"indie pop, pop rock"
1792,Tion Wayne,Body (Remix),,,,,131383409,9/6/2024,453,2024.0,0.9875,18.6936304,0.647153156,0.000117835,0.9875,52.11119284,Hip-Hop / Rap,"uk drill, drill, grime, uk grime, afroswing"
1793,Xamã,Malvadão 3,,,,,131288711,11/30/2021,150045,2021.0,0.95,18.69290936,0.647083181,0.039202443,0.95,52.53023236,Other,"brazilian hip hop, brazilian trap, trap funk, trap"
1794,Troye Sivan,Rush,,,,,131281264,10/13/2023,923548,2023.0,0.975,18.69285264,0.647077676,0.241299225,0.975,59.09286057,Other,"dream-pop, electropop, pop, synth-pop, synthpop"
1795,Taylor Swift,Love Story (Taylor’s Version),,,,,131094398,2/12/2021,1007418,2021.0,0.95,18.69142822,0.64693944,0.263212336,0.95,59.2433421,Indie / Alternative,"country, alternative pop, indie folk, country pop, pop"
1796,Gabito Ballesteros,LOU LOU,,,,,131070357,10/19/2023,45856,2023.0,0.975,18.69124482,0.646921641,0.011980491,0.975,52.2054968,Other,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, sierreño, banda"
1797,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",,,,,130793473,10/26/2023,645020,2023.0,0.975,18.6891301,0.646716413,0.168526899,0.975,56.89162763,Indie / Alternative,"indie folk, alternative pop, country, pop rock, contemporary country"
1798,Drake,What’s Next,,,,,130679820,3/5/2021,380566,2021.0,0.95,18.68826077,0.646632047,0.099431754,0.95,54.31455496,Other,rap
1799,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",,,,,130458303,,360713,,,18.68656422,0.646467401,0.094244667,,,Rock,"pop rock, contemporary folk, rock and roll, folk, rock"
1800,Drake,Pop Style,,,,,2694943,5/6/2016,337982,2016.0,0.8875,14.80688798,0.269954398,0.088305631,0.8875,33.89688884,Other,rap
